地區,大廈名單,最後個案居住日期,相關疑似/確診個案
屯門,黃家圍一台104、105、106、107、114、115地下及112-113號,,2705
元朗,白沙村,,2706
屯門,田景邨田樂樓,,2707
屯門,黃家圍一台104、105、106、107、114、115地下及112-113號,,2708
觀塘,樂華南邨安華樓,,2709
觀塘,和樂邨新安樓,,2710
黃大仙,翠竹花園7座,,2711
深水埗,醫局街德富大廈,,2712
南區,華富(二)邨華翠樓,,2713
東區,愛東邨愛逸樓,,2714
黃大仙,慈康邨康健樓,,2715
沙田,恆安邨恆山樓,,2716
油尖旺,利發大樓,,2717
九龍城,黃埔花園4期棕櫚苑2座,,2718
九龍城,溫思勞街19號,,2720
油尖旺,威華大廈,,2721
元朗,天盛苑盛賢閣,,2722
油尖旺,尖沙咀消防局職員宿舍,,2723
黃大仙,鳳德邨黛鳳樓,,2724
西貢,富寧花園6座,,2725
觀塘,興達大廈,,2726
元朗,天澤邨澤星樓,,2727
深水埗,東京街嘉莉閣,,2728
北區,榮福中心2座,,2729
葵青,石籬一邨石俊樓高座,,2730
葵青,荃灣帝盛酒店,,2731
深水埗,欽州街56C號興隆大廈,,2732
油尖旺,香港瑰麗酒店,,2733
油尖旺,香港瑰麗酒店,,2734
沙田,世界花園龍柏閣,,2735
黃大仙,慈康邨康健樓,,2736
觀塘,順天邨天榮樓,,2737
黃大仙,慈愛苑愛仁閣,,2738
西貢,彩明苑彩柳閣,,2739
北區,祥華邨祥景樓,,2740
北區,永寧村,,2741
葵青,石籬二邨石富樓,,2742
黃大仙,翠鳳樓,,2743
深水埗,基隆街254號,,2744
屯門,黃家圍一台104、105、106、107、114、115地下及112-113號,,2745
屯門,黃家圍一台104、105、106、107、114、115地下及112-113號,,2747
屯門,黃家圍一台104、105、106、107、114、115地下及112-113號,,2748
屯門,黃家圍一台104、105、106、107、114、115地下及112-113號,,2749
屯門,黃家圍一台104、105、106、107、114、115地下及112-113號,,2750
元朗,天晴邨晴悅樓,,2752
中西區,西環邨中苑臺,,2753
南區,華富(二)邨華翠樓,,2754
離島,索罟灣涌尾,,2755
屯門,黃家圍一台104、105、106、107、114、115地下及112-113號,,2756
沙田,雲疊花園6座,,2757
黃大仙,慈愛苑愛聰閣,,2758
屯門,兆麟苑嘉麟閣,,2759
屯門,山景邨景美樓,,2760
荃灣,海濱花園海霞閣,,2761
黃大仙,鳳德邨碧鳳樓,,2762
屯門,海翠花園1座,,2763
大埔,富善邨善美樓,,2764
黃大仙,彩虹邨碧海樓,,2766
中西區,城紫蘭樓,,2767
中西區,寶翠閣B座,,2768
北區,帝庭軒2座,,2770
深水埗,美孚新邨5期,,2771
荃灣,福來邨永樂樓,,2772
屯門,倚嶺南庭,,2773
觀塘,觀塘花園大廈燕子樓,,2774
西貢,頌明苑冠明閣,,2775
觀塘,寶珮苑寶瑤閣,,2776
觀塘,寶珮苑寶瑤閣,,2777
黃大仙,鳳德邨黛鳳樓,,2778
黃大仙,鳳德邨黛鳳樓,,2779
離島,諾富特東薈城酒店,,2780
黃大仙,采頤花園4座,,2782
九龍城,雅麗居2座,,2783
屯門,建生邨泰生樓,,2784
屯門,建生邨泰生樓,,2785
黃大仙,德強苑德賢閣,,2786
東區,高山台富山閣,,2787
東區,耀東邨耀福樓,,2788
沙田,美林邨美楓樓,,2789
東區,興東邨興豐樓,,2790
西貢,上洋,,2791
黃大仙,翠竹花園13座,,2792
屯門,黃家圍一台104、105、106、107、114、115地下及112-113號,,2793
屯門,黃家圍一台104、105、106、107、114、115地下及112-113號,,2794
油尖旺,大同新邨大公樓,,2795
北區,榮福中心2座,,2796
黃大仙,慈康邨康秀樓,,2797
觀塘,德福花園D座,,2798
觀塘,萬和花園大廈,,2799
觀塘,萬和花園大廈,,2800
西貢,對面海村,,2801
西貢,對面海村,,2802
黃大仙,竹園北邨松園樓,,2803
黃大仙,竹園北邨松園樓,,2804
葵青,荃灣帝盛酒店,,2805
元朗,天澤邨澤星樓,,2806
觀塘,翠屏(南)邨翠松樓,,2807
黃大仙,竹園北邨桃園樓,,2808
觀塘,油塘中心2座,,2809
東區,環翠邨利翠樓,,2810
九龍城,天鑄1期7座,,2811
觀塘,啟業邨啟盛樓,,2812
西貢,富寧花園4座,,2813
東區,太古城翠湖臺鄱陽閣,,2814
沙田,隔田村公廟,,2815
沙田,恒峰花園3座,,2816
沙田,恒峰花園3座,,2817
沙田,錦豐苑錦葵閣,,2818
屯門,寶田邨1座,,2819
屯門,黃家圍一台104、105、106、107、114、115地下及112-113號,,2820
黃大仙,竹園北邨松園樓,,2821
荃灣,海濱花園海明閣,,2822
油尖旺,龍堡國際,,2823
離島,富東邨東馬樓,,2823
東區,佳翠苑顯翠閣,,2824
南區,利東邨東安樓,,2825
葵青,IPLACE,,2827
黃大仙,慈安苑安欣閣,,2828
觀塘,油翠苑溢美閣,,2829
觀塘,啟業邨啟盛樓,,2830
北區,旭埔苑清湖閣,,2831
觀塘,高俊苑俊茂閣,,2832
觀塘,寶珮苑寶翠閣,,2833
黃大仙,慈康邨康添樓,,2834
黃大仙,慈愛苑愛仁閣,,2835
黃大仙,慈愛苑愛仁閣,,2836
黃大仙,采頤花園5座,,2837
荃灣,安富大廈,,2838
觀塘,油塘邨榮塘樓,,2839
觀塘,翠屏(北)邨翠楣樓,,2840
屯門,友愛邨愛明樓,,2841
屯門,黃家圍一台 104、105、106、107、114、115 地下及 112-113 號,,2842
元朗,錦安花園40座,,2843
黃大仙,黃大仙上邨昭善樓,,2844
觀塘,樂雅苑雅意閣,,2845
葵青,葵馥苑安葵閣,,2846
九龍城,何文田邨欣文樓,,2847
東區,高山臺富山閣,,2848
觀塘,寶珮苑寶翠閣,,2849
觀塘,啓業邨啓盛樓,,2850
西貢,明德邨明覺樓,,2851
西貢,日出康城領都6座,,2852
觀塘,彩德邨彩亮樓,,2853
大埔,富亨邨亨昌樓,,2854
灣仔,嘉景臺,,2855
黃大仙,慈安苑安欣閣,,2856
灣仔,軒尼詩大廈,,2857
灣仔,樂滿大廈,,2858
北區,松柏塱,,2859
北區,松柏塱,,2860
北區,松柏塱,,2861
元朗,天晴邨晴喜樓,,2862
大埔,新達廣場 6 座,,2863
沙田,恒安邨恒月樓,,2864
葵青,IPLACE,,2865
南區,香港仔中心海龍閣,,2866
沙田,嘉順苑,,2868
大埔,荔枝山村,,2870
大埔,荔枝山村,,2871
黃大仙,慈樂邨樂誠樓,,2873
元朗,洪福邨洪盛樓,,2875
油尖旺,裕耀工廠大廈,,2876
葵青,葵聯邨聯逸樓,,2877
荃灣,爵悅庭南爵軒,,2878
九龍城,奧斯酒店,,2879
油尖旺,香港海景絲麗酒店,,2880
黃大仙,慈樂邨樂仁樓,,2881
黃大仙,仁愛大廈,,2882
葵青,葵芳邨葵喜樓,,2883
黃大仙,慈正邨正德樓,,2884
油尖旺,富榮花園11座,,2886
觀塘,坪石邨藍石樓,,2888
屯門,恒福花園7座,,2889
黃大仙,竹園南邨麗園樓,,2890
黃大仙,雙鳳街66號,,2891
西貢,明德邨明覺樓,,2893
東區,康澤花園D座,,2894
元朗,元崗村,,2895
黃大仙,慈民邨民裕樓,,2896
黃大仙,彩虹邨碧海樓,,2897
葵青,華荔邨喜荔樓,,2898
深水埗,大元樓,,2899
九龍城,愛民邨衛民樓,,2900
油尖旺,永星大廈,,2901
觀塘,秀茂坪邨秀和樓,,2902
黃大仙,慈樂邨樂合樓,,2903
油尖旺,永星大廈,,2904
油尖旺,康樂大廈,,2905
九龍城,聯盛大廈龍圖閣,,2906
灣仔,富樂樓,,2907
東區,逸樺園1座,,2908
觀塘,彩福邨彩樂樓,,2909
葵青,長青邨青松樓,,2910
東區,逸樺園1座,,2911
北區,粉嶺圍,,2912
北區,旭埔苑清湖閣,,2913
觀塘,興達大廈,,2914
黃大仙,慈正邨正康樓,,2915
荃灣,象山邨翠山樓,,2917
葵青,大窩口邨富貴樓,,2918
荃灣,海濱花園海逸閣,,2919
黃大仙,慈樂邨樂滿樓,,2920
黃大仙,豪苑2座,,2921
深水埗,蘇屋邨劍蘭樓,,2922
深水埗,白田邨13座,,2923
深水埗,鴻裕大廈A座,,2924
深水埗,鴻裕大廈A座,,2925
東區,杏花邨5座,,2927
葵青,IPLACE,,2928
南區,華富(二)邨華泰樓,,2929
離島,逸東邨雍逸樓,,2932
深水埗,麗安邨麗正樓,,2933
黃大仙,沙田坳邨和田樓,,2934
九龍城,環海．東岸1A座,,2935
黃大仙,慈民邨民裕樓,,2936
黃大仙,慈民邨民裕樓,,2937
屯門,黃家圍,,2938
屯門,大興邨興偉樓,,2939
屯門,黃家圍一台104、105、106、107、114、115地下及112-113號,,2940
屯門,黃家圍一台104、105、106、107、114、115地下及112-113號,,2941
屯門,黃家圍一台104、105、106、107、114、115地下及112-113號,,2942
屯門,田景邨田樂樓,,2943
東區,杏花邨1座,,2944
灣仔,軒尼詩大廈,,2945
西貢,日出康城領峯6座,,2946
觀塘,寶達邨達怡樓,,2947
黃大仙,鳳德邨碧鳳樓,,2948
荃灣,梨木樹邨康樹樓,,2949
離島,索罟灣涌尾,,2950
觀塘,寶珮苑寶珊閣,,2951
沙田,顯徑邨顯慶樓,,2952
西貢,將軍澳廣場3座,,2953
大埔,運頭塘邨運臨樓,,2954
屯門,黃家圍一台104、105、106、107、114、115地下及112-113號,,2955
元朗,嘉湖山莊樂湖居6座,,2956
屯門,倚嶺南庭,,2957
屯門,倚嶺南庭,,2958
屯門,倚嶺南庭,,2959
屯門,兆畦苑兆強閣,,2962
元朗,天逸邨逸灣樓,,2963
屯門,欣田邨逸田樓,,2964
屯門,倚嶺南庭,,2965
屯門,倚嶺南庭,,2966
元朗,南坑村,,2967
元朗,蝶翠峰3座,,2968
元朗,蝶翠峰3座,,2969
屯門,欣田邨逸田樓,,2970
東區,碧麗閣A座,,2972
觀塘,鯉安苑鯉景閣,,2973
九龍城,太平花園,,2974
大埔,運頭塘邨運臨樓,,2976
沙田,美林邨美楓樓,,2978
東區,富怡花園5座,,2979
黃大仙,翠竹花園13座,,2980
灣仔,樂滿大廈,,2982
中西區,西環邨中苑臺,,2983
黃大仙,峻弦6座,,2984
元朗,斌逸雅苑12座,,2985
九龍城,土瓜灣道1號,,2986
南區,利東邨東昇樓,,2987
屯門,青磚圍路188號,,2988
屯門,兆畦苑兆強閣,,2989
西貢,都會駅7座,,2990
黃大仙,翠竹花園9座,,2990
北區,粉嶺一號橋,,2991
沙田,名城1期3座,,2992
深水埗,麗閣邨麗薇樓,,2993
黃大仙,慈樂邨樂祥樓,,2994
元朗,大橋村,,2995
觀塘,安達邨誠達樓,,2996
葵青,長青邨青柏樓,,2997
油尖旺,大同新邨大公樓,,2999
黃大仙,慈正邨正明樓,,3000
油尖旺,M+ Hotel,,3001
黃大仙,慈安苑安欣閣,,3002
荃灣,碧堤半島7座,,3005
九龍城,大龍樓,,3007
觀塘,彩盈邨盈樂樓,,3009
九龍城,大龍樓,,3010
九龍城,大龍樓,,3011
九龍城,大龍樓,,3012
觀塘,晨光大廈,,3013
黃大仙,翠鳳樓,,3015
觀塘,順利紀律部隊宿舍5座,,3016
觀塘,順利紀律部隊宿舍5座,,3017
荃灣,象山邨秀山樓,,3018
九龍城,美東邨美德樓,,3019
九龍城,美東邨美德樓,,3020
九龍城,美東邨美德樓,,3021
東區,興華(二)邨和興樓,,3022
黃大仙,竹園南邨趣園樓,,3023
葵青,青盛苑,,3024
九龍城,黃埔花園9期百合苑2座,,3025
葵青,葵聯邨聯悅樓,,3026
灣仔,冠景樓,,3027
觀塘,彩福邨彩樂樓,,3028
觀塘,彩福邨彩樂樓,,3029
深水埗,寶豐大廈,,3030
九龍城,半島豪庭2座,,3031
九龍城,鼎新大廈,,3032
沙田,美田邨美全樓,,3033
沙田,美田邨美全樓,,3034
沙田,水泉澳邨樂泉樓,,3035
東區,新成中心B座,,3036
東區,新成中心B座,,3037
深水埗,白田邨翠田樓,,3038
九龍城,永和大廈,,3039
葵青,葵盛東邨盛喜樓,,3040
北區,莆上村,,3041
離島,逸東(二)邨居逸樓,,3042
觀塘,寶珮苑寶珊閣,,3043
黃大仙,采頤花園5座,,3044
九龍城,愛民邨衛民樓,,3046
荃灣,朗逸峯1期2座,,3047
灣仔,薈賢居,,3048
東區,興祥大廈,,3049
離島,逸東(二)邨居逸樓,,3050
觀塘,麗港城10座,,3051
油尖旺,皇上皇大廈,,3052
油尖旺,皇上皇大廈,,3053
觀塘,宜安大廈,,3054
觀塘,翠屏(南)邨翠樂樓,,3055
觀塘,油翠苑漾美閣,,3056
油尖旺,天璽慧鑽璽,,3057
葵青,嘉翠園1座,,3058
油尖旺,南頭街3號,,3059
西貢,金苑,,3060
東區,高山台富山閣,,3061
沙田,名城 1 期3座,,3062
沙田,美林邨美楓樓,,3063
北區,孔嶺,,3064
北區,粉嶺圍,,3065
沙田,富寶花園5座,,3067
深水埗,和豐大廈,,3068
東區,環翠邨利翠樓,,3070
灣仔,尚翹峰3座,,3071
東區,興華(一)邨興翠樓,,3072
東區,環翠邨利翠樓,,3073
東區,環翠邨利翠樓,,3074
沙田,恆安邨恆山樓,,3075
油尖旺,順昌大廈,,3076
深水埗,麗安邨麗正樓,,3077
南區,薄扶林村,,3078
西貢,富康花園10座,,3079
西貢,西貢苑C座,,3080
北區,翠麗花園2座,,3081
九龍城,愛民邨保民樓,,3082
北區,華山村,,3083
南區,華富(一)邨華光樓,,3084
東區,杏花邨26座,,3085
東區,明月大廈,,3086
觀塘,寶珮苑寶珊閣,,3087
觀塘,寶珮苑寶珊閣,,3088
觀塘,翠屏(北)邨翠梅樓,,3089
屯門,黃家圍一台104、105、106、107、114、115地下及112-113號,,3090
屯門,澤豐花園澤民樓,,3091
屯門,新圍苑新賢閣,,3092
元朗,天盛苑盛亨閣,,3093
元朗,酒街,,3094
元朗,天澤邨澤星樓,,3095
屯門,恒福花園7座,,3096
元朗,天逸邨逸浪樓,,3097
元朗,蝶翠峰2座,,3098
元朗,蝶翠峰2座,,3100
黃大仙,翠竹花園9座,,3101
油尖旺,港灣豪庭8座,,3102
東區,筲箕灣道88號,,3103
沙田,富嘉花園2座,,3104
沙田,美田邨美滿樓,,3105
屯門,友愛邨愛明樓,,3106
葵青,祖堯邨啟敬樓,,3107
葵青,葵翠邨碧翠樓,,3108
屯門,友愛邨愛明樓,,3109
觀塘,油塘邨華塘樓,,3111
沙田,美田邨美滿樓,,3112
深水埗,美孚新邨5期,,3114
黃大仙,鳳德邨銀鳳樓,,3115
葵青,葵馥苑樂葵閣,,3117
東區,新成大樓,,3118
九龍城,翔龍灣5座,,3119
觀塘,安達邨愛達樓,,3120
深水埗,麗翠苑麗榕閣,,3121
屯門,兆康苑兆基閣,,3122
沙田,恆安邨恆峰樓,,3123
西貢,都會駅7座,,3124
屯門,兆康苑兆基閣,,3125
九龍城,新泰大樓,,3126
屯門,兆康苑兆基閣,,3127
葵青,葵翠邨碧翠樓,,3128
葵青,青華苑華璇閣,,3130
西貢,清水灣半島8座,,3131
屯門,豐景園1座,,3132
元朗,峻巒1A期11A座,,3133
屯門,兆康苑兆基閣,,3134
黃大仙,慈樂邨樂旺樓,,3135
黃大仙,彩輝邨彩華樓,,3136
中西區,寶泰大廈,,3137
荃灣,梨木樹邨榮樹樓,,3138
觀塘,翠屏(南)邨翠樂樓,,3139
九龍城,德朗邨德瑞樓,,3140
九龍城,德朗邨德瑞樓,,3141
觀塘,曉麗苑曉逸閣,,3142
西貢,對面海村,,3143
九龍城,愛民邨嘉民樓,,3144
深水埗,榮華樓,,3145
荃灣,荃威花園F座,,3146
觀塘,坪石邨藍石樓,,3147
沙田,美林邨美楓樓,,3148
北區,華明邨禮明樓,,3149
觀塘,順利紀律部隊宿舍5座,,3150
深水埗,東京街嘉莉閣,,3151
西貢,日出康城領峯6座,,3152
屯門,黃家圍一台 104、105、106、107、114、115 地下及 112-113 號,,3153
觀塘,寶達邨達貴樓,,3154
東區,東濤苑曉濤閣,,3155
屯門,美樂花園2座,,3156
觀塘,康華苑宏康閣,,3157
中西區,均益大廈3期A座,,3158
黃大仙,豐盛街紀律部隊宿舍第一座,,3159
北區,華明邨頌明樓,,3160
葵青,石蔭邨智石樓,,3161
沙田,富嘉花園1座,,3162
油尖旺,金冠大廈,,3163
沙田,沙田第一城4座,,3164
西貢,慧安園1座,,3165
東區,富雅花園金桂閣,,3166
東區,富雅花園金桂閣,,3167
葵青,荃灣帝盛酒店,,3169
九龍城,愛民邨保民樓,,3170
黃大仙,鳳德邨紫鳳樓,,3171
葵青,葵涌邨雅葵樓,,3172
葵青,葵涌邨雅葵樓,,3173
葵青,葵涌邨雅葵樓,,3174
葵青,葵涌邨雅葵樓,,3175
油尖旺,康樂大廈,,3176
九龍城,樂民新邨樂基樓,,3177
九龍城,土瓜灣道3號,,3178
荃灣,海濱花園海雲閣,,3179
灣仔,昌業大廈,,3180
黃大仙,彩雲(一)邨伴月樓,,3181
黃大仙,彩雲(一)邨伴月樓,,3182
黃大仙,慈樂邨樂祥樓,,3183
黃大仙,宏景花園6座,,3184
九龍城,賈炳達道61號,,3185
九龍城,興華大廈,,3186
九龍城,紅磡邨紅曜樓,,3187
九龍城,家維邨家禮樓,,3188
東區,峻峰花園C座,,3189
東區,峻峰花園C座,,3190
油尖旺,龍堡國際,,3191
大埔,錦山村181號,,3192
東區,碧麗閣A座,,3193
東區,碧麗閣A座,,3194
元朗,黃屋村210號栢譽,,3195
元朗,南坑村,,3196
元朗,八鄉田心村,,3197
觀塘,康寧大廈,,3198
觀塘,彩霞邨彩月樓,,3199
葵青,華荔邨喜荔樓,,3200
東區,興華(一)邨興翠樓,,3201
深水埗,鴻裕大廈A座,,3202
九龍城,天鑄1座,,3203
油尖旺,順昌大廈,,3204
觀塘,秀茂坪邨秀逸樓,,3205
觀塘,啟業邨啟盛樓,,3206
北區,莆上村,,3207
深水埗,白田邨13座,,3208
觀塘,彩福邨彩樂樓,,3209
觀塘,彩福邨彩樂樓,,3210
北區,雍盛苑雍華閣,,3211
荃灣,天保大樓,,3212
觀塘,彩福邨彩歡樓,,3213
觀塘,德福花園D座,,3214
屯門,黃家圍一台104、105、106、107、114、115地下及112-113號,,3215
屯門,恒福花園7座,,3216
屯門,大興花園2期7座,,3217
元朗,天慈邨慈恩樓,,3218
元朗,酒街,,3219
北區,文閣村,,3220
沙田,香粉寮,,3221
沙田,香粉寮,,3222
黃大仙,彩雲(二)邨啟輝樓,,3223
沙田,沙田圍新村,,3224
觀塘,翠屏(北)邨翠柏樓,,3225
黃大仙,樂富邨樂泰樓,,3226
九龍城,德朗邨德瑞樓,,3227
深水埗,鴻裕大廈A座,,3228
中西區,南賓大廈,,3229
荃灣,象山邨秀山樓,,3230
九龍城,煥然壹居H2座,,3231
深水埗,鴻裕大廈A座,,3232
觀塘,寶達邨達信樓,,3233
黃大仙,翠竹花園13座,,3234
九龍城,富運大廈A座,,3235
離島,海堤灣畔3座,,3236
南區,海龍閣,,3237
觀塘,觀塘花園大廈孔雀樓,,3238
觀塘,彩福邨彩樂樓,,3239
沙田,乙明邨明耀樓,,3240
葵青,葵聯邨聯逸樓,,3241
黃大仙,翠竹花園13座,,3242
深水埗,鴻裕大廈A座,,3243
葵青,長亨邨亨俊樓,,3244
西貢,煜明苑煒明閣,,3245
觀塘,牛頭角下邨貴月樓,,3246
葵青,長康邨康泰樓,,3247
葵青,長安邨安江樓,,3249
沙田,乙明邨明耀樓,,3250
中西區,麥當勞道5號,,3251
觀塘,寶達邨達怡樓,,3252
九龍城,偉恆昌新邨偉景閣J座,,3253
荃灣,天保大樓,,3254
沙田,錦英苑錦順閣,,3256
九龍城,黃埔花園2期錦桃苑11座,,3257
西貢,西貢對面海村,,3258
觀塘,翠屏北邨翠楣樓,,3259
屯門,黃家圍一台104、105、106、107、114、115地下及112-113號,,3260
九龍城,黃埔花園棕櫚苑 6座,,3261
元朗,新時代中城2座,,3262
深水埗,百老匯街5號美孚新邨1期,,3263
屯門,三聖邨進漁樓,,3264
屯門,南浪海灣2座,,3265
葵青,長青邨青松樓,,3266
沙田,烏溪沙村一巷,,3267
沙田,欣安邨欣喜樓,,3268
元朗,南坑村,,3269
南區,華富邨華翠樓,,3270
大埔,太湖花園3座,,3271
灣仔,富樂樓,,3273
黃大仙,宏景花園3座,,3274
大埔,寶雅苑家和閣,,3275
九龍城,樂民新村樂鄰樓,,3276
元朗,天耀邨耀泰樓,,3277
北區,永寧村,,3278
北區,莆上村,,3279
九龍城,港圖灣,,3280
中西區,梁輝臺4號,,3281
葵青,美葵大廈,,3283
屯門,友愛邨愛暉樓,,3284
屯門,友愛邨愛暉樓,,3285
葵青,大窩口邨富民樓,,3286
屯門,倚嶺南庭,,3287
黃大仙,美東邨美德樓,,3288
觀塘,坪石邨藍石樓,,3290
屯門,藍地綠怡居5座,,3291
荃灣,爵悅庭南爵軒,,3292
觀塘,翠屏(南)邨翠樂樓,,3293
觀塘,康寧大廈,,3294
元朗,昌盛大廈,,3295
葵青,石籬(一)邨石興樓,,3296
北區,莆上村,,3297
觀塘,樂華(北)邨秉華樓,,3298
葵青,石籬(二)邨石福樓,,3299
九龍城,樂民新村樂基樓,,3300
屯門,菁雋,,3301
元朗,紫荊樓二期,,3302
九龍城,偉恆昌新邨恆景閣B座,,3303
元朗,天澤邨澤星樓,,3304
北區,華心邨華勉樓,,3305
觀塘,寶達邨達翠樓,,3306
黃大仙,譽‧港灣 8 座,,3307
黃大仙,竹園聯合村,,3308
黃大仙,秀芳花園,,3309
黃大仙,慈樂邨樂祥樓,,3310
九龍城,愛民邨信民樓,,3311
九龍城,德朗邨德瑞樓,,3312
南區,利東邨東昇樓,,3313
觀塘,順利邨利富樓,,3314
觀塘,鯉魚門邨鯉興樓,,3315
屯門,大興邨興平樓,,3316
屯門,倚嶺南庭,,3317
元朗,米埔合和魚塘,,3318
北區,永寧村,,3319
元朗,昌盛大廈,,3320
元朗,天富苑榮富閣,,3321
黃大仙,采頤花園12座,,3322
大埔,汀角村,,3323
北區,天平邨天怡樓,,3324
九龍城,黃埔新邨景榮樓,,3325
觀塘,悦品海景酒店‧觀塘,,3326
西貢,頌明苑冠明閣,,3327
西貢,頌明苑冠明閣,,3328
觀塘,秀茂坪邨秀華樓,,3329
觀塘,觀塘花園大廈玉蓮臺1座,,3330
大埔,麗和閣,,3332
觀塘,高翔苑高安閣,,3333
元朗,錫降村,,3334
沙田,濱景花園4座,,3335
東區,杏花邨26座,,3336
黃大仙,彩雲(一)邨伴月樓,,3337
黃大仙,彩雲(一)邨伴月樓,,3338
油尖旺,樂富大廈,,3339
葵青,祖堯邨啟敬樓,,3340
葵青,祖堯邨啟敬樓,,3341
葵青,祖堯邨啟敬樓,,3342
南區,深灣9號8座,,3343
荃灣,荃威花園F座,,3344
葵青,長發邨敬發樓,,3345
黃大仙,采頤花園1座,,3346
灣仔,富樂樓,,3347
葵青,葵聯邨聯悅樓,,3349
元朗,柏慧豪園5座,,3350
深水埗,麗翠苑麗榕閣,,3351
屯門,湖景邨湖碧樓,,3352
葵青,長發邨敬發樓,,3353
葵青,葵聯邨聯悅樓,,3354
葵青,葵聯邨聯悅樓,,3355
深水埗,白田邨麗田樓,,3356
黃大仙,鳳德邨銀鳳樓,,3357
油尖旺,港灣豪庭2期8座,,3358
黃大仙,鳳德邨銀鳳樓,,3359
觀塘,安達邨仁達樓,,3360
灣仔,龍濤苑1座,,3361
葵青,美葵大廈,,3362
觀塘,寶珮苑寶珊閣,,3363
觀塘,寶珮苑寶珊閣,,3364
觀塘,寶珮苑寶珊閣,,3365
東區,新成中心C座,,3366
東區,興華(二)邨樂興樓,,3367
沙田,白田五區,,3368
沙田,隆亨邨賞心樓,,3369
北區,榮福中心2座,,3370
葵青,長安邨安濤樓,,3371
東區,明華大廈B座,,3372
油尖旺,樂富大廈,,3373
油尖旺,樂富大廈,,3374
深水埗,寶豐大廈,,3375
黃大仙,慈愛苑愛寧閣,,3376
元朗,朗屏邨珠屏樓,,3377
油尖旺,樂富大廈,,3378
黃大仙,彩虹邨錦雲樓,,3379
南區,深灣9號8座,,3380
南區,深灣9號8座,,3381
北區,祥華邨祥順樓,,3382
葵青,葵聯邨聯喜樓,,3383
灣仔,大觀樓,,3384
九龍城,德朗邨德瑞樓,,3385
屯門,悅湖山莊2座,,3386
黃大仙,彩雲(二)邨明麗樓,,3386
葵青,葵龍大廈,,3387
葵青,金運工業大廈,,3387
北區,馬尾下嶺咀,,3388
北區,昌盛苑昌靖閣,,3389
大埔,寶雅苑興和閣,,3390
屯門,南浪海灣2座,,3391
荃灣,梨木樹邨榮樹樓,,3392
荃灣,名逸居3座,,3393
沙田,雅景臺2座,,3394
屯門,兆軒苑順生閣,,3395
灣仔,禮頓道62號,,3396
東區,濱海大廈,,3397
東區,僑裕大廈,,3398
觀塘,觀塘花園大廈喜鵲樓,,3399
荃灣,爵悅庭南爵軒,,3400
深水埗,深水埗榮華樓,,3401
深水埗,石硤尾邨美映樓,,3402
深水埗,石硤尾邨美映樓,,3403
九龍城,沙浦道45號,,3404
黃大仙,竹園北邨松園樓,,3405
屯門,恒福花園7座,,3406
元朗,天晴邨晴喜樓,,3407
元朗,橫台山永寧里,,3408
大埔,宏福苑宏新閣,,3409
黃大仙,慈正邨正和樓,,3410
黃大仙,慈正邨正和樓,,3411
